,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
276,C,A,20200101,2020,52,2020,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C07,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,28391.36,,28391.36,0,False,True
280,C,A,20210101,2021,52,2021,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,2108423166.76,,2108423166.76,4,False,True
287,C,A,20210101,2021,52,2021,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C01,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1942170900.39,,1942170900.39,4,False,True
294,C,A,20210101,2021,52,2021,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C04,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,142227640.44,,142227640.44,4,False,True
300,C,A,20210101,2021,52,2021,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C06,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,24013547.57,,24013547.57,0,False,True
307,C,A,20210101,2021,52,2021,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C07,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,11078.36,,11078.36,0,False,True
311,C,A,20220101,2022,52,2022,233,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,2403380584.29,,2403380584.29,0,False,True
318,C,A,20220101,2022,52,2022,233,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C01,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,2249491964.82,,2249491964.82,4,False,True
325,C,A,20220101,2022,52,2022,233,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C04,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,126728510.27,,126728510.27,0,False,True
331,C,A,20220101,2022,52,2022,233,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C06,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,26992012.49,,26992012.49,0,False,True
338,C,A,20220101,2022,52,2022,233,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C07,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,85664.37,,85664.37,0,False,True
